content,score
tolong tambahkan fitur multifinancenya lebih lengkap seperti WOM belum ada untuk pembayaran cicilan,3
Fitur bayar tagihan pendidikan nya belum lengkap Kampusnya. tolong di lengkapi semua universitas yang sudah kerja sama. di bni mobile ada. tapi sayangnya di wondr gak ada..,1
suka simpel mudah bertransaksi,5
aplikasi nya bagus cuman susah login,4
sangat bagus banget apl bni .bisa transfer ke bank laen dimana aja kpn aja.dhebes bni,4
mempermudah segala transaksi,5
tidak bisa transaksi TF token dsb... khusus BNI kks.,1
"Aplikasi nya susah daftar, paling kesal pas di foto wajah selalu gagal berkali-kali, udah ada pencahayaan terang, muka tegak lurus tetap tidak bisa,sangat mengecewakan.",1
layanan sangat cepat..dan sangat membantu kebutuhan transaksi saya...terimakasih...,5
"mantap. transaksi lebih mudah, cepat, akurat",5
mudah dan cepat transaksinya,5
"aplikasi sulit dibuka kalau pakai paket data. masak sih kl mau transaksi hrs cari wifi dl, jadi sulit transaksi kalau diluar. tlg developer jd perhatian!",3
"mantap, keren, nyaman 😍",5
semakin bagus aplikasi nya,5
bagus dan keren mudah dan cepat,5
"cpt, kadang2 lupa bayar pln, apa ada pengingat",5
"jelek sekali setelah di update, lama login nya, muter mutar. kembali kan ke persi sebelum nya. biar gampang",1
"Buka Rekening mudah, cuman pake Kuota internet, nabungnya santai, bayar belanja gampang dg QRIS merchant-nya banyak. Yang utama : SEMUA TRANSAKSI terasa Aman, dg Kunci keamanan lumayan. Juga gak repot-repot MasterCard segala. Semoga aman berkah selalu👍👍👍",5
sangat mudah dan cepat 🥰,5
kenapa ya...saya mau sinkron ke rekening lama m.banking bni yg sudah ada malah di buatin rekening baru sama si wonder sampai 2 kali coba..solusinya gmn nih? kalau lihat ratingnya udah bagus seh..coba berkali malah rekening baru lagi yg ada ...kenapa ga langsung sinkron aja dg m.bangking BNI yg sudah ada😰🥵,1
"transaksi cepat,luar biasa",5
Udah kebiasaan aplikasi lama butuh banyak penyesuaian,4
"sangat susah dibuka app nya,giliran mau bayar2 GK bawa cash susah.",1
Like dg Wonder.mempermudah dan cepat.Trima ksh pak dan bu BNI.Terutama yng sdh buat aplikasi wonder ini.Alhmdlh sgt bermanfaat.ditunggu hadiahnya🤲😍,4
parah sih kalah jauh dengan bank yang lain BNI wondr ini gak bisa setor tunai lewat mesin ATM payah banget,1
sangat baik dan juga cepat.. wonder BNI.. mkasih ya mantap selalu wonder BNI,5
aplikasi nya kadang sering gak mau di buka padahal jaringan operator full,1
aplikasi yang mudah di gunakan,5
"kecewa install aplikasi ini. harusnya jika belum siap jangan dilaunching dulu, atau nasabah BNI diminta jadi tester aplikasi? masak 3 kali buka aplikasi 3 kali juga harus daftar dan verifikasi ulang. akhirnya pasang aplikasi mobile banking BNI yg lama. Edit : malah diajarin cara verifikasi. admin saya sudah berhasil verifikasi tapi beberapa hari kemudian saat login ternyata balik lagi ke awal harus verifikasi lagi 😭😭😭",2
"TOLONG DIBACA YA PIHAK BNI,SAYA BUKA APLIKASI WONDR LALU SERING GAGAL VERIFIKASI WAJAH DAN DISURUH COBA LAGI BESOK,TAPI TETAP GAK BISA BESOKNYA INI NGERJAIN ORANG BANGET SUMPAH DAN MENGHILANGKAN KEPERCAYAAN MASYARAKAT KE BNI ,SAYA GAK BISA TRANSAKSI DI ATMKRN KARTU ATM SAYA WAKTU BERLAKUNYA HABIS MAKANYA BERALIH KE WONDR DAN MOBILE BANKING GK BISA,SAYA KIRA DENGAN ADANYA WONDR BY BNI MERUPAK PERUBAHAN LEBIH BAIK DR BNI MOBILE BANKING TAPI TERNYATA JELEK BGT BERBELIT APLIKASINYA GAK KAYA BANK BC*",2
mantap update wondr nya msh oke..semoga makin cpt loadingnya,5
kurang nyaman.. lebih enak BNI mobile..,1
"ko kartu saya ga aktif, udah saya isi saldo 60rb malah ga bisa di tf balik, katanya balum tersedia fitur ini, mohon penjelasannya",2
aplikasi ini cukup baik untuk memudahkan untuk ber transaksi,4
Terimakasih wondr by BNI telah memberi kemudahan dan kenyamanan dalam transaksi apa pun dan dimana pun.,5
Tampilan yang sangat membosankan dan verifikasi wajah yang selalu gagal,1
"terima kasih, dengan mengunakan wondr by BNI semua urusan jadi lebih mudah",5
pendaftaran mentok di selpi . udh d coba beberapa kali tetap ga bisa.,3
"Terima kasih, saya nyaman memakai aplikasi ini karena sangat membantu saya dalam bertransaksi online dengan cepat dan aman.",5
Mantaps cepat dan aman,5
cepat dan praktis,5
suka lama masuk ke dalam aplikasi nya loading nya lelet,3
verifikasi wajahnya tamahin untuk kamera belakang kameraku depan ngeblurr jadii ga bisa verifikasi padahal tinggal ituu aja,2
aplikasi terkadang sulit terbuka,2
alat untuk transaksi yg sangat mudah,5
lanjar jaya.. tapi kalo buat toap goopay pernah gagal,5
keren dan mudah di gunakan,5
aplikasi tidak bisa di pencet,1
luar biasa keren tampilannya apk nya,5
"aplikasi g...k verivikasi waja susah, padahal sudah diikuti intruksinya a.....g",1
"Aplikasi nya ini knp gak bisa download mutasi sesuai periode yang di inginkan..? Padahal qt butuh data mutasi seperti yg biasa di pakai di BNI mobile, data nya lebih lengkap dari pada yang di Wondr, klo kyk gini ujung2nya harus bayar ini krn harus ke bank untuk minta print rekening koran spy data transaksi nya lebih detail. Tolong di sediakan fitur cek/download mutasi yg sama dgn yg ada di BNI mobile krn itu sangat membantu.",1
"saya sudah install aplikasi wondr,dan akhirnya bisa,semoga lebih baik dari BNI mobile banking",5
"Saya baru hari ini mau pindah ke wondr, dikarenakan yg versi bni mobile lagi (alert! transaksi tidak bisa dilanjutkan) malah ribet banget, verifikasi e-ktp ditolak 3x smpai ditgg besok lagi 😃",1
"Lg butuh malah bermasalah gangguan dari pagi sampe siang, udh coba uninstal dan masuk lg malah gak bisa tolong dong perbaiki sistem nya kalau gini buat orang rugi",2
"sudah pernah terdaftar, karena sering error akhirnya balik lagi ke BNImob. ini mencoba buka lg, kenapa harus daftar ulang dari awal ?. foto KTP jg gagal2 terus. sebesar BNI, masa aplikasinya seperti ini ?. sebelumnya apa tidak ada perencanaan dulu yang matang baru diterapkan. masa udah segini lamanya masih tahap pengembangan.",3
pindah kesini bukannya makin lancar malah makin susah dipakek,1
mau daftar sudah foto ktp sesuao arahan dalah terus sampe harus bikin lagi besoknya sudah seminguu salah terus .. tolong perbaiki,1
"Foto KTP error 3x lalu harus coba lagi sampai besok. BNI M banking udah bisa dipakai, saya mau hari ini makan gimana?",1
Sangat mobile dimanapun berada..,5
"kaga jelas deh pas bayar pake qris error uang udh kepotong, pas hubungi cs lwt wa telat semenit bales chat disuruh ulang lagi, jadi trust issue pake qris disini",1
sangat bermanfaat sekali hanya saja takut kena hack,5
coba tolong untuk fitur tarik tunai tanpa kartu nya jgn pakai kode otp yg di kirimkan melalui sms.. karna terlalu ribet tidak setiap orang mempunyai pulsa... terimakasih,4
"fitur yg keren,dan lebih mudah semoga sllu amanah dan terpercaya sukses sllu buat wordr by BNI aamiin🤲🏻",5
"berfungsi baik, tapi mohon di lengkapi untuk daftar wilayah pembayaran PBB karena untuk Jawa Tengah belum tersedia",4
"saya kasih bintang 5 untuk saat ini. Verifikasi mudah, fitur lengkap. semoga tdk ada kemunduran yaah.. pertahankan",5
pelayanan sangat memuaskan,5
aplikasi apaan tiap malam gangguan gak guna banget pake mbanking juga,1
"aplikasi cakep, menurut ku lebih enak ketimbang apk bni yg dulu, cuma untuk bagian mutasi tolong diberi keterangan sisa saldo setelah transaksi kaya apk yg dulu soalnya aku butuh banget mutasi kaya gini",5
"aplikasi nya bagus tapi untuk pengirman kartu debit kealamat tujuan gak bisa dilacak langsung dari aplikasi harus hubungi bnicall dahulu,tapi lbh bagus untuk pelacakan pengiriman kartu debit lebih baik langsung diaplikasi wondr by bni agar kita bisa tahu kartu kita sdh sampai mana",3
Sangat membantu pengiriman cepat,5
terimakasih BNI atas penjelasan terkait dengan apa yang saya keluhkan beberapa hari yang lalu sekarang saya bisa log in lagi ke aplikasi wondr by BNI saya mau bertanya lagi apakah akan ada terjadi masalah jikalau nomer yang kita daftarkan tidak aktif lagi ? dikarenakan dulu waktu dftr di indonesia saya mengunakan nomer WhatsApp saya akan tetapi setelah saya kembali ke Hongkong ternyata nomer sudah tidak aktif tapi masih bisa saya gunakan pada aplksi Whatsapp saya .,5
mudah dan praktis suka pake wondr BNI terimakasih BNI,5
sangat praktis dan memudahakan transaksi,5
"verifikasi wajahnya sangat sulit udah berkali"" dilakuin tetap disuruh ulang terus, udah di tempat terang dll, masih tidak bisa, sedangkan di apk bank lainnya sangat mudah untuk verifikasi wajah. Tolong diperbaiki lagi aplikasinya",1
"belakangan ini di bulan mei 2025 layanannya suka error saat transaksi Qris, padahal sudah di update",2
kenapa yah punya saya tidak bisa melihat bukti transaksi nya,3
"tolong adain menu pengaturan notif SMS BANKING ya min??? tadi aku nyobain QRIS nya Wondr BNI, mantap pokoknya, asal ada jaringan lancar, transaksinya jadi muluss.",4
mudah dan cepat dalam bertransaksi,5
"aplikasi bagus, sangat berguna, tingkatkan terus layanan mobile banking agar menjadi layanan prima",5
terlalu banyaak bug . mau login verifikassi muka salah mulu bikin cape 2 hari salah mulu kapok pake bni,1
akhirnya klo reset pin ATM tanpa perlu ke cabang terdekat,5
"makasih , jadi simple sumua",5
mantap dan mempermudah transaksi,5
"tidak bisa dibuka lagi aplikasinya, saya uninstall saja daripada bikin kepala sakit",1
sangat membantu dan mudah di gunakan...,5
mantap lancar bagus tanpa ada kendala buat transfer terima kasih Bni,5
"kecewa, transaksi gagal tapi dana tetap terpotong dan setelah di cek contak center ternyata masuk ... terus gunanya tulisan transaksi gagal apa? harusnya kalau tulisan gagal, ya kembalikan saldo kembali jdi kita gak melakukan 2 kali transaksi... mending kembali ke BNI Moble Banking aja...",1
Sangat memudahkan dalam bertransaksi namun biaya adminnya besar juga.,5
minimal percobaan pin 3x baru 1x kblokir.. uninstall lah... kalo ada yg gampang ngapain pke yg syulid... minimal pake vermuk kedip2 geleng2 mangap2 klo g percya itu akun kita. sekian Terima kasih tdk berguna utk saya!!,1
"BNI apk wondr masih jaman Batu, bank lain sudah canggih, mobile tunai harus nunggu otp kadang atpnya lama dan tidak muncul itupun harus ada pulsanya waduh kayak maksain , tampilannya bagus tapi belum bisa bersaing dgn yg lain seperti bca",1
cepat untuk segala pengiriman uang n pembayaran,5
sudah beberapa hari aplikasinya gak bisa dibuka. Tapi notif bisa masuk. kenapa ya?,4
menyusahkan udah ada bni mobile masih harus ke wonder,1
wonder bni bikin mbanking sendiri dengan mudah tanpa harus ke bank dulu,5
Lebih bagus dari Aplikasi lama,5
"sip aplikasi ini bagus, sangat membantu, simpel dan gak ribet, gak kayak BNI Mobile yg jauh lebih ribet, ditambah banyak bug!",5
kecewa banget semalem beli paket data transaksi tidak berhasil tapi saldo kepotong nyesel banget ga ada pemberitahuan aplikasi sistem kecewa,1
"Benerin lagi lah Apk nya.., repot bnget klw mau ganti akun hapus uninstall dulu, gk ada fitur logout,klw lagi daftar gak ada tombol kembali, musti ulang dari awal, apk nya lebih lemot dari mbanking BNI yg sebelumnya..,",1
DENGAN Apliksi wondr Ini sangat Membantu Buat Transaksi Apa Ja pokonya simple Dan PUAS DAN MANTAPPP,5
segera lebih baik klo bisa transper uang lebih dari 50 juta antar Bank..,5
kadang eror tidak jelasss mau transaksi eror TDK bisa terus.,1
"suka tiba tiba muncul, di suruh daftar tapcash pas enak enak lagi tiktokan. nyesel pake bni",1
"bagus tampilan aplikasi nya, terimakasih sudah menciptakan apk banking dengan desain style anak muda, dan kalau boleh buatkan juga merchandise karakter Mei dari apk wonder 👍😂",5
"min gimana uang saya, penarikan mobile tunai (penarikan tanpa kartu) di atm, uang saya kesedot 200 ribu di mobile banking saya, tapi uang di atm nya gak keluar, tapi uang saya udah hilang gitu aja?!!!!!! kejelasannya dong min!!!! udh di email tpi gaada respon!!!",2
"ini kenapa apk nya jadi sering error gini ya,kalo lagi urgent gini gimana make nya,tolong ya developer nya minta di perbaiki lagi",3
"kecewa sekali sama bank BNI sudah 10 tahun lebih menjadi nasabah benar2 tidak ada dari bank BNI memberi manfaat untuk saya, tambah lagi beberapa hari yang lalu saya mengajukan kur bni juga tidak bisa dengan alasan harus meminjam lebih dari seratus juta sedangkan usaha kita belum cukup besar kalau harus meminjam segitu kita hanya meminjam semampu kita dulu saja tetapi tetap ditolak ternyata bank bni bukan bank pemberi manfaat untuk usaha kecil seperti saya.. terima kasih bank bni",1
transaksi digital sangat membantu,5
sangat bagus dn membantu dalam transaksi,5
"anu ku ngaa bsa d bukaa, mau pake data atau wifi cuman ada tulisan ""kesalahan server coba lagii nanti"" dan itu darii seminggu yg laluu",5
"sudah sebulan lebih pengiriman usd ke rekening bni blum juga samapi,kenapa",4
"agak sedikit berbelit karena harus hafal pasword untuk login diawal, mungkin demi keamanan padahal didalam juga masih minta pin pembayaran, kalau yg sistem lama terbalik minta kode numerik diawal dalan transaksi minta pasword pembayaran, maaf Krn belum terlalu familiar kali ya...🙏😁",4
"pelayanan customer buruk, masa sudah dateng ke kantor cab. buat bikin rek. bukannya dilayani palah suruh bikin online sendiri, mana gak dipandu pula. apa gunanya ada kantor cab. coba. nyesel dah ngantri lama2.",1
mantap mempermudah dalam transaksi,5
min untuk masuk apk wondr by BNI kalau bisa ditambahkan sidik jari biar makin mudah min 😀,5
kenapa d hp Motorola saya tidak bisa dibuka ya?selalu berhenti,3
Sangat membantu dan memudahkan setiap transaksi,5
kenapa yaa ga bisa TF?,3
sangat membantu dan simpel,5
kenapa ini sudah satu bulan wonder saya masih dalam kendala?? belum ada perbaikan sama skli trus gimna saya mau cek saldo saya atau transaksi,1
kenapa GX bisa masuk ya kembali lagi,3
"aplikasi ribet., gk bisa lihat mutasi rekening dengan jelas., masa harus didownload dulu., kelamaan",1
"bagus, transaksi cepat dan lancar saat dibutuhkan👍",5
transfer via wonder sangat mudah dan smart,5
aplikasi broken macam apa ini bisa bisanya saldo saya mines. perasaan baru ada saldo mines padahal baru transaksi beberapa kali tolong dong segera di perhatikan. anehnya no antriannya percuma yang di panggil sesuai dengan kenalan,1
"Tidak bisa dibuat ubah cicilan kartu kredit, padahal di BNI Kartu Kredit Mobile sudah bisa dibuat ubah cicilan sedangkan di Wondr masih belum ada transaksi. Aneh.",1
keren banget. mempermudah segala urusan pembayaran. worth it .. keren,5
bodoh saldo 209rb top up dana 100rb gak bisa,1
"yang bener lah verifikasi wajah di suruh ngedipin mata udah di lakuin malah nga ke deteksi, udah nga pake kaca mata, masker atau aksesoris apapun, cahaya udah bagus, muka udah pas di kamera, nga pakai efek, filter atau apapun itu. tapi masih nga bisa",1
rumit. sandi benar dibilang sala. Reset sampai 2x dalam sehari. Juga kalau tf ada notifikasi dari aplikasi kalau berhasil tpi setelah bbrapa jam kemudian n spam pula. Masak gini kualitas aplikasi Bank Negara,1
sering gangguan.....isi ewallet aja gak bisa udah dari kemarin,1
"APLIKASI ANEH .. MAU PINDAH DARI BNI MOBILE ke Wondr , suruh pilih tabungan, lah aneh,, kan udah punya rekening kenapa Milih lagi, coba pilih sampai tanda tangan,, Aplikasi kendala sistem,, gambar jembatan rusak.. ga jelas memang",1
sering harus kali harus posting ulang spt wajah dan ktp,3
"wonder ok , tambahin fitur setor tunai tanpa kartu dong tarik tunai sudah ada",5
tolong di perbaiki lagi aplikasi nya sebenernya bagus,5
alhamdulillah mudah dan nyaman,5
aplikasinya bagus.. tlong ditingkatkan lg y ka biar ada fitur untuk ngaktifin lagi kartu yang udah tidak aktif.. biar bsa digunakan lagi.. makassih,5
"gak tau kenapa tidak bisa buat rekening di aplikasi ini, dan harus ke kacab BNI terdekat, btw ada kantor cabang BNI di hutan papua tidak ya?",1
"Lemot, begitu dipakai lama, jadi bosan sendiri.",1
apakah app ini tidak dapat di gunakan pada samsung s9??,1
kenapa tidak bisa bayar PDAM pada akhirnya jadi pinalty karena lambat bayar PDAM,4
mantap dan cepat,5
beberapa hari terakhir wonder tiba tiba minta log in padahal kita tidak menekan aplikasinya. Sedang chat WA atau aplikasi yang lain tiba tiba minta log in. ini kenapa ya,4
"kenapa fitur pembayaran listrik, Qris mengunakan kartu kredit di hapus, hadehhhh,, wonder wonder,,",1
"aplikasi simpel tapi lemot,entah pake wifi atau data",1
lebih efektif dan efisien,5
"kenapa ya tiba² aplikasinya kendala?? Infonya, tim kami lagi perbaiki, yuk coba kembali.. udah aku unistall terus instal lagi tetep aja.. padahal kepunyaan temenku aman² aja.. udah 2 hari woiiii kek gini. gimana mau melakukan transaksii klo kek gini.. woooii ADMINNN",1
"apk gajelas makin hari makin rusak, mu transaksi aja susah reset reset sandi pantes aja orng ga mau pake bni",1
"mau daftar aja susahnya minta ampun, jangan sok sok an pake ai kalo ainya ai ketinggalan jaman, verifikasi wajah udah coba kira kira 30x dalam 3 hari tetep aja nggak bisa, di bagian kedipkan mata stuck disitu, jangan sok sok an pake ai kalo ai nya rongsok apalagi di pake di step cursial kaya pendaftaran,nyusahin!!!!!",1
"mantap, mempermudah transaksi",5
kenapa gak bisa login kemarin bisa hari in GK bisa gmna cara biar bisa lagi ya digunakan,5
ko buat setor tunai lewat wondr tidak ada ya min cuma bisa tarik tunai doang lewat wondr di adain juga ding buat setor tunai nya,3
kecewa kirain sama kayak apk lainnya kalo gak ada aktifitas saldo nyo jd tidak bisa dipakai,3
otp mobile tunai jarang muncul,1
"tidak lebih baik dari yang sebelumnya, contohnya ketika membeli token listrik harus selalu mengisi no meteran manual tidak seperti sebelumnya yg sudah tersimpan di memori.",3
"banyak banget limitnya, laaamaaaa kesel pokoknya mending BNI mobile aja",1
fiturnya bagus...tapi kenapa pas saya bikin terus verifikasi pin slalu ada tulisan kesalahan sistem trs klo verifikasi ulang pinnya cuma berhenti disitu engga ke halaman selanjutnya...ini udh 2 hari ini....kendalanya di habis foto ktp kan itu ngisi nomor yg ada di kartunya habis itu verifikasi pin/bikin pin....nah pas ngisi pin yg pertama slalu ada tulisan maaf ada kesalahan sistem...terus saya coba lgi kan...nah itu cuma berhenti disitu tidak masuk akunnya,3
"aplikasi susah di operasikan, sy baru daftar 2 hari lalu pas pulang mau login, gagal terus sampai ke blokir, udah pergi ke bank di suru buat ulg sendiri di rumah, pas verifikasi wajah gagal lagi gagal lagi, harus tunggu besok lagi gimana si ini",1
Lebih simpel dan tampilannya lebih bagus dari BNI Mobile Banking sebelumnya 👍,5
best lh pokok nya... memudahkan segala urusan,5
lebih simple dan mudah dlm penggunaannya 😊. Semoga semakin berkembang dan maju IT BNI,5
"saya kasih bintang 4 dulu ewaled kurang lengkap harus ada, shopepay dana ovo dan Paypal kaya nya akan lebih keren",4
suruh kedip mata berulang2 tp gagal trs..gimna sih..jd cape,1
klau udah masuk akses. tolonglah bisa loging langsung. cukup satu kali&sidik jari saja. kyk BNI bengking.. masak iya setiap buka wonder masukan sandi. terus. kadang saya lupa😌,3
gak bisa transaksi tanpa kartu kode otp nya g masuk2 pulsa banyak padahal percuma ada fitur mobile tunai kalau gak bisa di pake,2
sangat membantu dan mudah,5
Bagus tapi Butuh perbaikan seperti mobile tunai yang setoran tanpa kartu di sediakan dan untuk otp Tarik tunai tanpa kartu tidak terpotong pulsa.,5
padahal kode aktivasi email udah benar dimasukin malah di bilang tidak valid emang parah nih,1
sangat bagus dan membantu kebutuhan dng cepat,5
cepat dan praktis,5
"Aplikasi ini bagus bahkan keluar notif dan transaksi cepet banget, cuman ada sedikit keluhan bapak/ibuk dev , untuk aplikasinya terlalu sering crash dan tidak bisa dibuka, bahkan sering stuck di logo awal, mohon dan bila berkenan untuk diperbaiki lagi bapak/ ibuk, terimakasih",3
"Ribet, mau login sering verifikasi ulang. Masih enak pakai bni mbanking",1
"suka banget, benar2 memudahkan transaksi sehari hari 💜",5
"aplikasi jelek disuruh ke kantor cabang terus,sudah diperbaiki malah disuruh lagi",1
"dibuka apk ny gila lama amat, say buka ML aj cepet gk selam ini, HP saya ram 12 Rom 500 ini mh fix apk ny yg slah, tolong lah perbaikin",2
kenapa aplikasinya gak bisa dibuka? saya mau transaksi gak bisa ini,1
"Akhirnya ada banking apps yang bikin transaksi jadi lebih wondrful..dengan tampilan aplikasinya yg lucu banget dan warna2nya super fun...kemarin coba bayar pakai QRIS di wondr cepet banget, cukup 3 step selesai..bener2 easy to use....wondr by BNI memang mantapp....👍👍",5
"aplikasi perbankan paling buruk menurut saya, jauh dengan bni mobile banking, upgrade seharusnya lebih bagus dr sebelumnya, lakok kebalikannya, semakin buruk, ribet, sering trouble, dll",1
sangat baik cepat dan terpercaya,5
pakai jaringan telkomsel tidak bisa buka tolong dong perbaiki di jaringan kalau semua sudah ok terima kasih,3
tidak ada menu setor tunai/tarik tunai tanpa kartu,4
aplikasi yg bagus..tuk segala jenis transaksi..efisien..cepat dan tepat,4
"Layanan sudah bagus, ditingkatkan lagi.",5
ini kenapa limit top up ewallet dibatasi tolong jangan dikasi limit dikit,1
"lebih mudah ,lancar,sat set transaksinya",5
setelah diperbarui app wonder sangat sulit untuk menggunakan nya kalau menggunakan internet dr perangkat. mau nya hanya pakai jaringan wifi. hal ini sangat menyulitkan saya. saya tidak suka 😡,1
"untuk transaksi transferan sejauh ini bagus tidak ada kendala tp untuk pembelian paket data tidak sesuai dengan keteran, pembelian paket data 30 GB seharusnya yang masuk pun 30 GB Tp yang masuk hanya 15 GB dan setelah transaksi aplikasinya langsung error.",1
cepat dn lebih mudah dipertahankan,5
saya sebagai pengguna bni sangat kecewa transaksi saya gagal tapi saldo saya berkurang. saya membuat laporan di email juga ga direspon saya sudah 2 hari nunggu gak ada kejelasan,2
"seharusnya kalo mau tarik tunai pakai wondr OTP nya kirim ke wa saja, kenapa harus pakek sms? soalnya sekarang jarang ngisi pulsa, lebih ke paketan. tolong ya admin di permudah biar kayak sebelah lewatnya WA / GMAIL.",3
𝘴𝘪𝘮𝘱𝘦𝘭 & 𝘭𝘦𝘣𝘪𝘩 𝘤𝘦𝘱𝘢𝘵,5
"Tolong fitur tarik tuna dan setor tunaii nya dipercepat dikembangin di wondr jgn pakai kode otp dari SMS lagi, coba dari aplikasi saja kodenya, yang cepat kaya punya Livin mandiri belajar dari BUMN lain terimkasih",5
"Sangat suka dengan aplikasi ini karena lebih simpel banget dibanding aplikasi mobile banking BNI yg sebelumnya, yg ini udah semua lebih simpel sama warna desain di aplikasi juga bagus lebih berwarna gitu. pokoknya meskipun ATM ketinggalan selama battery hp masih full dan udah download aplikasi ini mau ambil uang di ATM pun jadi lebih mudah karena bisa tarik tunai tanpa ATM. semoga saldo akan selalu aman dari hacker karena aplikasi udah canggih",5
Banyak perbaikan sistem susah buat transaksi 💩💩,2
"kenapa sejak ganti wonder sering gangguan sudah saya coba kak berkali"" tapi tetap minta verifikasi lagi dan lagi sudah ke banknya bahkan",1
memudahkan transaksi daftar nya jg gak ribet,5
"bagus,cepat praktis,dlam transaksi",5
aplikasi yang bagus untuk transaksi,5
"jelek,verifikasi nya gagal terus....",1
pelayanan yang sangat memuaskan cuman kendala satu tidak bisa top up dana,5
maaf semuanya udh saya ajukan ke BNI udh gt saya gk bisa juga buka aplikasi wondr by BNI nya,2
"bantu dprbaharui lg aplikasiny krn blkangan ini aplikasiny sering eror, pas mau transaksi it ksulitan jdiny",3
aplikasi apaan ini punya negara tapi susah banget buat login doang,1
lebih mudah dan cepat,5
"Aplikasi yang sangat membantu memudahkan nasabah dalam bertransaksi. Masukan untuk developer, agar rincian transaksi bisa ditambahkan penjelasan untuk apa. Jika transaksi bukan dari bank konvensional, nama pengirim tidak tercantum. Sehingga membingungkan kita ketika ada transaksi masuk, dan harus melihat dari BNI Mobile Banking. Terima kasih.",3
"mudah digunakan, banyak fiturnya, pokoknya mantap 👍",5
"ngeselin bgt setiap mau masuk terus disuruh masukin pasword, pasword salah terus, padahal udah dipastiin pasword yang aku masukin bener tapi selalu muncul notif pasword salah hadehhhhh",1
"sangat kecewa tidak bisa bikin akun oadahal saya kelahiran 2007 kenapa di aplikasi tertulis ""minimum 17 tahun untuk membuka rekening""",1
sangat membantu dan memuaskan apk nya,5
"Aplikasinya sudah cukup bagus, mungkin kedepannya harus ada menu setor tunai tanpa kartu biar gak ribet bawa kartu debit",5
"Saya punya kendala di aplikasi ini. Knpa saldo saya tiba tiba menjadi mines, padahal sebelum di tansfer saldo saya tidak mines, dan masih ada sisa 37.043, lalu saat di transfer tiba tiba saldo saya menjadi mines. Itu knpa yaa kira kira. mohon penjelasannya🙏🏼🙏🏼",5
bagus dapat membantu dan pastinya lebih gampang,5
tarik tunai tanpa kartu di mesin atm tertulis gagal. tp d aplikasi sukses dan saldo kepotong.,1
Sangat membantu dalam penyimpanan saldo di hand phone,4
"verifikasi wajah disuruh kedip, udah kedip bolak balik kok tetap gagal terus.",2
keren.... minus di layanan topup ewalet kurang tersedia... 🙏🙏,5
"alhamdulillah bagus,apknya lancar gk ada kendala.",5
"mudah, simpel dan banyak menunya.. sangat membantu..",5
"veriv wajah susah bgt, terlalu banyak nunggu besuk, besuk smpe 3 hari pun masih muncul keterangan yg sama",1
mending pke bni mobile pke wondr ini gak bisa top up gopay sudah lama di coba selalu jawab sedang ada kendala cba lgi nanti..,2
"sampe kapan gangguan sistim terus, mau daftar masukin password gak bisa",3
Transaksi cepat dan mudah berkat aplikasi ini. Terima kasih Wondr.,5
Saya baru download trs sistem nya eror trs ini saya mau kirim GK bisa gimana solusinya dan saya mau kirim ke shopee knp eror,1
solusinya gimana ya bayar pake Q RIS malah gagal tiba tiba ke potong 2 kali pembayaran sampe sekarang balom ada pengembalian dana,2
lebih mudah dan praktis dalam segala transaksi,4
"aplikasinya susah dibuka, harus dengan sinyal yg kuat baru bisa dibuka, kalo ndk kuat sinyal hanya putar2 aja itu, mw dak mw harus balik ke app lama.",4
"Tiap sabtu mlm mau tarik tunai tanpa kartu tidak bisa.Dimesin atm keterangan gagal,di sms ada keterangan berhasil tarik pulsa pun berkurang.",1
"aplikasi eror. verifikasi wajah dh puluhan kali ngedipin mata tetep GX ke detek. padahal cahaya dh cukup terang, GX jelas emnk.",1
"applikasi kebanyakan kendala,membuang waktu,sangat disayangkan sering terjadi kendala saat situasi genting",3
"ok mantap Notifikasi Wondr sama dengan SMS Banking,,, sudah sama 👍",5
"sangat memuaskan aplikasinya ,semoga kedepannya tambah lancar dan ramai",5
"kenapa sekarang wonder BNI susah di akses,, selalu gagal dgn alasan tidak punya akses padahal saya ada buku rekening sama ATM nya",2
"wah kacau banget tiba"" harus login lagi dan harus masukin nomor kartu sedangkan kartu saja sudah 3 bulan tidak dikirim. padahal lagi urgent mau bayar gimana coba uang saya hampir semua saya simpan di wondr.",1
"sangat bagus aplikasi nya ,GK ada kendala sama sekali",5
sekarang buka nya klo bukan pakai wifi lelet..,4
"sering bug apk, error, gangguandan sering pemeliharaan,, transaksigagak tapi saldo berkurang, perlu banyak perbaikan nih apk, gakjelas. nyesaludah pakai apk ini",1
kenapa wonder saya dari pagi tidak bisa dibuka ada keterangan dalam perbaikan..tolong dipercepat perbaikannya sudah 4 jam,4
"aplikasinya bagus, tapi sayang stak di tampilan depan ga bisa masuk ke menu login, apakah karna update UI 7 android 15, hingga aplikasi tidak bisa di buka?",4
"Tolonglah berinovasi yang lebih bagus,sekarang BNI kalah jauh dengan Mandiri yang sudah berinovasi dan sekarangpun Mandiri sudah ada rekening tabungan yang tanpa buku dan biaya adminnya pun jauh lebih murah. Sekarang biaya admin paling mahal ya BNI. Sampai kapan kalian BNI mau terus menerus ngambil uang nasabah dengan mengenakan tarif admin yang begitu mahal dan ga masuk akal!!! Disarankan cs pakai taplus muda tapi terbatas persyaratan umur,ayolah memberikan masukan itu yg masuk akal donk ya!",1
